PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=851 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=724 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=672 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=699 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=696 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=843 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=832 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=854 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=863 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=860 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=865 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=865 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=866 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=879 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=874 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=893 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=673 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=693 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=697 ms
